NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Sponsor,Collaborators,Study Type,Study Design,Start Date
NCT03649074,Software Treatment for Actively Reducing Severity of ADHD as Adjunctive Treatment to Stimulant,https://clinicaltrials.gov/study/NCT03649074,COMPLETED,"The purpose of this study is to determine the effects of combining AKL-T01 (with AKL-X01 symptom tracking) as adjunctive treatment to stimulant medication, and to understand the effects of AKL-T01 treatment (with AKL-X01 symptom tracking) in participants not recently on medication.",YES,Attention Deficit Hyperactivity Disorder,DEVICE: AKL-T01,"Akili Interactive Labs, Inc.",,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2018-12-28
NCT04640766,Process-instructed Self Neuro-Modulation (PRISM) for Attention Deficit/ Hyperactivity Disorder - Adults,https://clinicaltrials.gov/study/NCT04640766,COMPLETED,"This is a single-arm, open-label feasibility study. Participants will be assigned and will undergo a novel neurofeedback intervention, targeting down-regulation of deep limbic structures, specifically the amygdalae. Participants will complete 12 neurofeedback sessions delivered twice weekly over 6 consecutive weeks. The intervention will be delivered via the PRISM platform.",YES,Attention Deficit Hyper Activity,DEVICE: PRISM,NYU Langone Health,,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-07-26
NCT03672266,Studies of Brain and Body Interaction,https://clinicaltrials.gov/study/NCT03672266,UNKNOWN,"The goal of this study is to characterize biophysiolgoical signals as a comprehensive profile of the nervous systems in order to understand interactions between the brain and body, while an individual performs naturalistic behaviors (ex. walking, pointing) and while breathing at a slow controlled pace. The investigators aim to study these interactions among a variety of populations, from healthy individuals to those with disorders such as Autism Spectrum Disorder(s), including those who may also have an ADHD (Attention-deficit/hyperactivity disorder) diagnosis, Asperger's Syndrome, Alzheimer's Disease, and/or Fragile X syndrome",NO,"Autistic Disorders Spectrum|Adhd|Asperger Syndrome|Alzheimer Disease|Parkinson|Tremor Essential|Dementia, Alzheimer Type|Lewy Body Dementia With Behavioral Disturbance (Disorder)|Dementia With Lewy Bodies|Dementia Frontal",,Rutgers University,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2018-08-01
NCT04355065,The Secret Trail of Moon (Serious Videogame) and Chess on ADHD: a Clinal Trial,https://clinicaltrials.gov/study/NCT04355065,UNKNOWN,"Blackground:

Currently research on alternative forms of cognitive training in patients diagnosed with ADHD is gaining interest. Especially, the use of Virtual Reality video games. Our team has developed an innovative video game based on Virtual Reality, ""The Secret Trail of Moon (TSTM) as a cognitive tool to train 5 main areas of deficit in patients with ADHD. It is superiority study comparing TSTM with therapeutic chess and control group.

Methods:

This study is prospective, unicentric, randomized with a control group. 105 patients diagnosed with ADHD and pharmacologically stable, aged between 12 and 22 years. These patients will be randomized intro three groups: TSTM group (The Secret Trail of Moon); TC group (Therapeutic Chess) and CG (Control Group). Objective and subjective measures of the patient, parents and teachers will be included. Patients´visit will be different for each group. The TSTM group will have 15 face-to face visits: pre-inclusion visit, inclusion visit, 12 training visits and final visit. CT and GC group patients will have 3 face-to- face visits (pre-inclusion, initial visit and final visit) and 12 email or phone communications during training.

Discussion: This study aims to demonstrate the added efficacy of cognitive training to drug treatment. It is a study that tries to demonstrate the superiority of cognitive training with TSTM compared to a traditional cognitive training (TC) and a control group.

TSTM is presented as a new and powerful cognitive tool thanks to four factors that make it unique: the feeling of immersion in the scenarios, the variety of mechanics, the personalization and the playful aspect.",NO,Attention Deficit Disorder With Hyperactivity,BEHAVIORAL: Cognitive Traning with The Secret Trail of Moon|BEHAVIORAL: Cognitive Traning with Therapeutic Chess|DRUG: Control Group,Puerta de Hierro University Hospital,"Instituto de Salud Carlos III|Ministerio de Economía y Competitividad, Spain|Gammera Nest Technology Company",INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2019-12-09
NCT00011466,Nutrient Intake in Children With Attention Deficit Hyperactivity Disorder,https://clinicaltrials.gov/study/NCT00011466,UNKNOWN,"Specific nutrient deficiencies have been described in children with ADHD including zinc, magnesium, calcium, and essential fatty acids. In addition, children with ADHD have been noted to behave and concentrate better in some studies when the ratio of protein compared with carbohydrate in their diets was increased, however, this was anecdotal information noted from studies designed to study other factors, so its not clear if the increased protein is actually the cause of the improved behavior. In our clinical practice, we have noted a high incidence of what appears to be carbohydrate ""craving"" among children with ADHD, which can put children at risk for obesity, diabetes type II, and additional dysregulation of mood and concentration. Carbohydrate craving is a well-documented phenomenon in adults, particularly those with certain patterns of obesity, mood disorders, or those undergoing smoking cessation programs. It has not been studied in children, however. Thus, this initial study was designed to determine 1) whether or not children with ADHD have different patterns of nutrient intake compared with children in the same family and children in families without a child with ADHD, 2) if the described nutrient deficiencies are due to decreased intake, and 3) whether there is an increased occurrence of carbohydrate craving, based on parents' perceptions, eating patterns, and actual intake, among children (or certain subgroups of children) with ADHD. The information gained from this study will be used to design additional studies to test causative hypotheses and intervention strategies.",NO,Attention Deficit Disorder With Hyperactivity,,National Center for Research Resources (NCRR),Heppe Foundation,OBSERVATIONAL,Observational Model: |Time Perspective: p,
NCT01160874,Sleepiness and Driving Performances in Adults With Attention-Deficit/ Hyperactivity Disorder (ADHD),https://clinicaltrials.gov/study/NCT01160874,COMPLETED,"The Attention Deficit/ Hyperactivity Disorder (ADHD) is a developmental disorder which affects 3 to 5 % of school age children. This disorder persists in the adulthood for 60 % of subjects. Children with ADHD are sleepier during the day than normal children. However, there is no information concerning the diurnal sleepiness of adults with ADHD and the impact of this sleepiness on their driving capacity. The investigators postulate that the negative impact of ADHD is due to an awakening disorder which adds to the attentional disorder. The aim of this study is to estimate both the sleepiness by a Maintenance Wakefulness Test (MWT) and the capacity to drive in adults with ADHD.",NO,Attention Deficit Disorder With Hyperactivity,OTHER: Polysomnography|OTHER: Maintenance Wakefulness Test|BEHAVIORAL: Neuropsychological evaluation|OTHER: Driving test on a simulator,"University Hospital, Bordeaux",,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2010-07
NCT05099874,Feasibility and Efficacy of Attentional-Control Training in Sickle Cell Disease,https://clinicaltrials.gov/study/NCT05099874,RECRUITING,"Children with sickle cell disease (SCD) exhibit significantly reduced cognitive functioning (often difficulties with attention) compared to peers and siblings without SCD. EndeavorRx (Akili Interactive Labs: Boston, MA) is an FDA-approved home-based, electronic attentional-control training program designed to treat attention problems in youth. Users access EndeavorRx on a tablet device for 25-30 minutes each day, 5 days per week, for 4 weeks. The program involves training in a game-like environment that repeatedly challenges attentional-control abilities and adapts to user performance, becoming more difficult over time as performance improves. This pilot study is examining the feasibility, acceptability, and preliminary efficacy of EndeavorRx in a sample of 20 children with SCD ages 8-16 who are being treated with chronic blood transfusion therapy.",NO,Sickle Cell Disease|Attention Deficit|Cognitive Deficit in Attention,DEVICE: EndeavorRx,Children's National Research Institute,,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-12-20
NCT05071066,New Service Protocol for Attention Deficit/Hyperactivity Disorder With Comorbidity: A Randomized Waitlist-controlled,https://clinicaltrials.gov/study/NCT05071066,RECRUITING,"The proposed study is to be carried out in 2021 - 2024 with youths aged 6 - 15 in Hong Kong. This is a randomized waitlist-controlled trial that aims to examine the effectiveness of the ADHD+ new service protocol. This ADHD+ new service protocol intervention will be delivered for 6 months in the format of groups by frontline social workers trained by professional clinicians including clinical psychologists and psychiatrists. It is designed to reduce ADHD and related symptoms in individuals aged between 6 and 15 years.

Core treatment components include internet use/addiction intervention, cognitive training, emotion management, social skills training, occupational training, emotion support/befriending, parenting training, and career guidance. It is hypothesized that youths receiving the intervention will have reduced ADHD and related symptoms when compared with controls.

Findings will allow the investigators to better understand the effectiveness of the new ADHD+ service; and in the long run, the service model can be generalized to community based early interventions for other uncomplicated mental disorders.",NO,ADHD,OTHER: ADHD+,The University of Hong Kong,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-12-20
NCT00246220,A Study of the Effectiveness and Safety of Prolonged-release Methylphenidate Hydrochloride in Adult Patients With Attention Deficit/Hyperactivity Disorder.,https://clinicaltrials.gov/study/NCT00246220,COMPLETED,The purpose of this study is to evaluate the effectiveness and safety of three doses of prolonged-release methylphenidate (a central nervous system (CNS) stimulant) in adult patients with attention deficit/hyperactivity disorder (ADHD).,NO,Attention Deficit Disorder With Hyperactivity,DRUG: methylphenidate hydrochloride,"Janssen Pharmaceutica N.V., Belgium",,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE|Primary Purpose: TREATMENT,2005-03
NCT00174226,Treatment of Adult ADHD With Atomoxetine or Atomoxetine and Buspar,https://clinicaltrials.gov/study/NCT00174226,COMPLETED,Determine if there is a difference in treatment response for adults with ADHD who are treated with Strattera versus those treated with a combination of Strattera and buspirone,NO,Attention Deficit Disorder With Hyperactivity,DRUG: Atomoxetine|DRUG: Buspirone,Pfizer,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE|Primary Purpose: TREATMENT,2004-11
NCT04188626,Identification of Biomarkers to Predict Driver Take-over Control Quality,https://clinicaltrials.gov/study/NCT04188626,COMPLETED,"At level 3 conditionally automated, the vehicle ensures driving and the driver disengages from driving to perform another activity independent of driving (ex: read a book, play on his phone ....). However, drivers are expected to be available to take over control for the case of system failure or limitation. This take-over control must take place in a limited time, very short, of the order of a few seconds. To take-over control of the vehicle quickly and efficiently, the driver must be, at the time of take-over, vigilant, efficient, and attentive to the environment and focused on the take-over of manual driving. Predicting the driver's reengagement capabilities to ensure that the driver will be able to take-over control of the vehicle is crucial at level 3 of autonomous driving.

The objective of ANTIDOTE is to determine physiological and behavioural parameters capable of predicting the take-over quality in level 3 conditionally automated vehicles in a simulated highway driving situation in healthy drivers or drivers with attention disorders.",NO,Healthy Subjects|Attention Deficit,BEHAVIORAL: Driving simulator sessions,PSA Automobiles S.A.,"University of Bordeaux|University Hospital, Bordeaux",INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2019-12-09
NCT04866030,Drug Use Study With Intuniv® in Australia,https://clinicaltrials.gov/study/NCT04866030,COMPLETED,This study will evaluate and analyze prescribing behaviors of physicians and determine whether Intuniv was correctly prescribed in Australia.,NO,Attention Deficit Hyperactivity Disorder (ADHD),,Shire,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019-03-11
NCT00540826,Treatment Compliance in Children and Adolescents on ADHD Medication,https://clinicaltrials.gov/study/NCT00540826,COMPLETED,"The primary research objective of this observational study is to evaluate treatment compliance over one year in children and adolescents who are newly initiated on medication approved for the treatment of ADHD in a routine clinical setting. Compliance will be assessed using the Pediatric Compliance Self-Rating (PCSR) Instrument. A patient will be considered as compliant at a given visit, if the PCSR score is at least 5, corresponding to taking the medication at least often.",NO,ADHD,DRUG: Atomoxetine|DRUG: stimulants (any approved ADHD medication),Eli Lilly and Company,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2007-11
NCT01835548,NT0102 in the Treatment of Children With Attention Deficit Hyperactivity Disorder (ADHD),https://clinicaltrials.gov/study/NCT01835548,COMPLETED,"This is a randomized, double-blind, placebo-controlled, parallel group, Phase 3 trial to evaluate the safety and efficacy of NT0102 in the treatment of Attention Deficit Hyperactivity Disorder (ADHD) in pediatric patients 6 to 12 years of age in a laboratory classroom study.",YES,Attention Deficit Hyperactivity Disorder (ADHD),DRUG: NT0102|DRUG: Placebo,"Neos Therapeutics, Inc",,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2013-07
NCT01777048,Omega-3 Fatty Acids Supplementation in ADHD,https://clinicaltrials.gov/study/NCT01777048,TERMINATED,The overarching aim of the proposed study is to assess whether omega-3 fatty acids supplementation can augment the effects of methylphenidate in children with ADHD. The investigators hypothesized that omega-3 fatty acids supplementation will be associated with improved ADHD symptoms.,NO,ADHD,DIETARY_SUPPLEMENT: Omega-3 Fatty Acids Supplementation|DIETARY_SUPPLEMENT: Omega-3 Placebo,"University Hospital, Basel, Switzerland",Universitäre Psychiatrische Kliniken (UPK) Basel,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2013-04
NCT05631626,Phase 3 Efficacy and Safety Study in Adults With ADHD Using CTx-1301.,https://clinicaltrials.gov/study/NCT05631626,COMPLETED,The goal of this clinical trial is to evaluate the efficacy and safety of CTx-1301 in adults with ADHD in a laboratory classroom setting.,NO,ADHD|ADHD - Combined Type|Attention Deficit Hyperactivity Disorder Combined|Attention Deficit Hyperactivity Disorder,DRUG: CTx-1301 - Dexmethylphenidate 25mg|DRUG: CTx-1301 - Dexmethylphenidate 37.5mg|DRUG: CTx-1301 - Dexmethylphenidate 50mg|DRUG: Placebo,Cingulate Therapeutics,"Rho, Inc.",INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2022-12-29
NCT01439126,Efficacy & Safety of KAPVAY™ Extended-Release in Children & Adolescents With Attention Deficit Hyperactivity Disorder,https://clinicaltrials.gov/study/NCT01439126,COMPLETED,The purpose of this study is to determine the long-term efficacy and safety of KAPVAY™ (clonidine hydrochloride) extended-release in children and adolescents with Attention Deficit Hyperactivity Disorder (ADHD),YES,Attention Deficit Hyperactivity Disorder,DRUG: clonidine hydrochloride|DRUG: Placebo,"Concordia Pharmaceuticals Inc., Barbados",,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2011-08
NCT01272726,Influence of Education on Acceptance of Treatment for Attention Deficit Hyperactivity Disorder (ADHD) Among Women,https://clinicaltrials.gov/study/NCT01272726,COMPLETED,The goal of this research study is to measure what percentage of women who suspect they have symptoms of ADHD will go on to be diagnosed with ADHD using accepted practice standards. The study will also evaluate the influence education on the genetics of ADHD has on a woman in her deciding to receive behavioral health treatment for ADHD.,NO,Attention Deficit Hyperactivity Disorder,BEHAVIORAL: Education,Avera McKennan Hospital & University Health Center,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2009-03
NCT00572026,Enhancing ADHD Driving Performance With Stimulant Medication,https://clinicaltrials.gov/study/NCT00572026,UNKNOWN,"Among children, attention-deficit/hyperactivity disorder (ADHD) is associated with an increased risk for accidents, especially bicycle and pedestrian (Leibson 2001; Jensen 1988; DiScala 1998). Anywhere from 40% to 80% of children diagnosed with ADHD continue to display symptoms of the disorder into adolescence(Barkley 1990; Gittelman 1985). Adolescents with ADHD are also at an increased risk for driving-related accidents, being 2 to 4 times more likely to experience a motor vehicle accident (Barkley 1993; Barkley 1996; Cox 2000), 4 times as likely to be at fault in the accident (Barkley 1993), and over 3 times more likely to incur associated injuries as a result of the accident(Murphy 1996).

Stimulant treatment with immediate-release methylphenidate (IR MPH) has been demonstrated to improve driving performance in adolescents with ADHD.

Hypothesis to be Tested:

* Main study: Just as stimulant medication improves simulation and on-road driving performance of ADHD teenagers, it is hypothesized that stimulant medication will improve routine driving performance.
* Substudy - Extended wear (15 hours) of Daytrana will lead to safer driving late in the evening (22:00 and 01:00), when the most dangerous driving mishaps are most likely to occur, and the next morning at 09:00.",NO,Attention Deficit Hyperactivity Disorder,DRUG: Methylphenidate Transdermal System,University of Virginia,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: ",2007-07
NCT00190957,Atomoxetine Treatment of Adults With ADHD and Comorbid Alcohol Abuse,https://clinicaltrials.gov/study/NCT00190957,COMPLETED,Atomoxetine Treatment of Adults with ADHD and Comorbid Alcohol Abuse,NO,ADHD|Comorbid Alcohol Abuse,DRUG: Atomoxetine|DRUG: placebo,Eli Lilly and Company,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE|Primary Purpose: TREATMENT,2004-08
NCT04006548,To Explore the Influence of Appetite Reduction and Medication Effect of Methylphenidate in Patients With Attention-deficit/Hyperactivity Disorder(ADHD) Through Pharmacogenetics.,https://clinicaltrials.gov/study/NCT04006548,COMPLETED,"We plan to recruit 200 children and adolescents aged between 6 to 17 years old in two years. Those patients would receive clinical interview by child psychiatrists to diagnose as ADHD and to exclude mental retardation, major psychiatric disorders and medical disorders. Moreover, we excluded children who ever received ADHD medication treatment more than one year, or received medication in recent 30 days. Initial assessment includes collecting saliva sample, and complete questionnaires (SNAP-IV), clinical rating (CGI-S) and psychological test (CPT-II, WISC-IV, CANTAB). After 1 month methylphenidate treatment, we would evaluate SNAP-IV, CGI-S, CGI-I and Barkley Psychostimulants Side Effects Rating Scale. We also would collect saliva samples to perform appetite related gene phenotyping to see the association between medication side effect and polymorphism of appetite related genes.",NO,Methylphenidate Adverse Reaction,,Chang Gung Memorial Hospital,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019-07-01
NCT00586157,Study of Medication Patch to Treat Children Ages 6-12 With ADHD,https://clinicaltrials.gov/study/NCT00586157,COMPLETED,The purpose of this study is to investigate the effectiveness of a medication skin patch called Methylphenidate Transdermal System (MTS). We will compare the MTS medicated patch to a placebo patch. We want to find out how well it treats ADHD during the early morning hours before a child leaves for school or summertime routines.,YES,ADHD|Attention Deficit Hyperactivity Disorder,DRUG: Methylphenidate Transdermal System|DRUG: Placebo,Massachusetts General Hospital,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2006-09
NCT00191048,Treatment With Atomoxetine Hydrochloride in Children and Adolescents With ADHD,https://clinicaltrials.gov/study/NCT00191048,COMPLETED,The purpose of this study is to assess the efficacy and safety of atomoxetine administered once daily in the treatment of children and adolescents with ADHD and comorbid dyslexia.,NO,Attention-Deficit/Hyperactivity Disorder|Comorbid Dyslexia,DRUG: Atomoxetine,Eli Lilly and Company,,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2003-10
